Model,Threshold,Overall Dice,Lesion Dice,Normal Dice,Overall IoU,Lesion IoU,Precision,Recall,HD95,Cls Acc,Macro F1,Macro AUC
U-Net MT Pretrained,0.5,0.808928,0.779841,0.95,0.742136,0.699277,0.861441,0.795368,22.671062,0.854701,0.851961,0.945816
U-Net MT Scratch,0.5,0.778789,0.753798,0.9,0.71438,0.676108,0.843394,0.755667,23.550375,0.854701,0.842461,0.947861
Attention U-Net MT Pretrained,0.5,0.755963,0.78812,0.6,0.687016,0.704958,0.751969,0.792012,23.901266,0.74359,0.687222,0.902836
Attention U-Net MT Scratch,0.5,0.743798,0.73221,0.8,0.682405,0.658158,0.772766,0.74811,29.89117,0.777778,0.75842,0.945124
